atlas_file,atlas_version,tissue,cell_type_path,gene,polarity,species,state,target_status,source_type,source_name,pmid,doi,url,source_record_id,source_record_url,evidence_locator,curator,verified_at,curator_notes
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th1 cell,IL12RB1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th1 cell,IL4,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th1 cell,IL17A,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th17 cell,IL17A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th17 cell,IL17F,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th17 cell,RORC,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th17 cell,CCL20,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th17 cell,CCR6,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th17 cell,IFNG,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th17 cell,IL4,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th17 cell,FOXP3,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell,CD8A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell,CD8B,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell,GZMB,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell,PRF1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell,GNLY,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell,CD4,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell,FOXP3,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Naive CD8+ T cell,CCR7,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Naive CD8+ T cell,LEF1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Naive CD8+ T cell,SELL,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Naive CD8+ T cell,TCF7,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Naive CD8+ T cell,GZMB,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Naive CD8+ T cell,PRF1,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Naive CD8+ T cell,GNLY,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Effector CD8+ T cell,GZMB,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Effector CD8+ T cell,PRF1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Effector CD8+ T cell,GNLY,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Effector CD8+ T cell,NKG7,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Effector CD8+ T cell,CST7,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Effector CD8+ T cell,CCR7,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Effector CD8+ T cell,LEF1,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD8+ T cell > Effector CD8+ T cell,SELL,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > Gamma-delta T cell,TRDC,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > Gamma-delta T cell,TRGC1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > Gamma-delta T cell,TRGC2,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > Gamma-delta T cell,CD3D,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > Gamma-delta T cell,CD4,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > Gamma-delta T cell,CD8A,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > Gamma-delta T cell,CD19,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell,CD19,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell,MS4A1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell,CD79A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell,CD79B,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell,PAX5,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell,CD3D,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell,CD14,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell,NCAM1,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Naive B cell,IGD,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Naive B cell,IGHM,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Naive B cell,CD27,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Naive B cell,MS4A1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Naive B cell,CD19,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Naive B cell,CD27,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Naive B cell,SDC1,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Memory B cell,CD27,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Memory B cell,MS4A1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Memory B cell,CD19,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Memory B cell,IGHG1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Memory B cell,IGD,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Memory B cell,SDC1,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Plasma cell,SDC1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Plasma cell,MZB1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Plasma cell,JCHAIN,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Plasma cell,IGHG1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Plasma cell,XBP1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Plasma cell,PRDM1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Plasma cell,MS4A1,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Plasma cell,CD19,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,B cell > Plasma cell,IGHD,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell,NCAM1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell,NKG7,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell,GNLY,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell,KLRD1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell,KLRB1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell,FCGR3A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell,CD3D,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell,CD19,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell,CD14,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell > CD56bright NK cell,NCAM1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell > CD56bright NK cell,FCGR3A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell > CD56bright NK cell,NKG7,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell > CD56bright NK cell,CXCR4,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell > CD56bright NK cell,FCGR3A,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell > CD56dim NK cell,FCGR3A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell > CD56dim NK cell,NKG7,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell > CD56dim NK cell,GNLY,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell > CD56dim NK cell,KLRD1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell > CD56dim NK cell,PRF1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,NK cell > CD56dim NK cell,CD3D,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte,CD14,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte,LYZ,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte,S100A8,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte,S100A9,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte,FCN1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte,CD3D,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte,CD19,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte,NCAM1,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte,FCGR3A,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Classical monocyte,CD14,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Classical monocyte,S100A8,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Classical monocyte,S100A9,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Classical monocyte,LYZ,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Classical monocyte,FCN1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Classical monocyte,CCR2,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Classical monocyte,FCGR3A,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Classical monocyte,CD163,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Non-classical monocyte,FCGR3A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Non-classical monocyte,CD163,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Non-classical monocyte,MS4A7,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Non-classical monocyte,LYZ,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Non-classical monocyte,CCL3,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Non-classical monocyte,S100A8,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Monocyte > Non-classical monocyte,S100A9,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell,ITGAX,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell,FCER1A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell,CLEC10A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell,CD1C,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell,HLA-DRA,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell,CD3D,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell,CD19,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell,CD14,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell,NCAM1,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC1,CLEC9A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC1,IRF8,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC1,FCER1A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC1,CD1C,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC1,XCR1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC1,CD14,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC1,CD3D,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC2,CD1C,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC2,CLEC10A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC2,FCER1A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC2,IRF4,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC2,CD14,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC2,CD3D,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > cDC2,CLEC9A,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > pDC,CLEC4C,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > pDC,NRP1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > pDC,IRF7,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > pDC,FCER1A,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > pDC,CD303,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > pDC,CD14,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > pDC,CD1C,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Dendritic cell > pDC,CD3D,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Platelet,PF4,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Platelet,PPBP,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Platelet,GP1BB,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Platelet,ITGA2B,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Platelet,CD9,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Platelet,CD3D,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Platelet,CD19,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,Platelet,CD14,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
